Poz.	Kierowca	Zespó³	Czas	Pkt.
1	L.Hamilton	Mercedes	1:39:40.382	25
2	S.Vettel	Ferrari	+02.581	18
3	M.Verstappen	Red Bull	+12.706	15
4	D.Ricciardo	Red Bull	+15.376	12
5	V.Bottas	Mercedes	+47.957	10
6	C.Sainz	Renault	+72.548	8
7	C.Leclerc	Sauber	+90.789	6
8	S.Perez	Force India	+91.275	4
9	R.Grosjean	Haas	+1 okr.	2
10	K.Magnussen	Haas	+1 okr.	1
11	F.Alonso	McLaren	+1 okr.	
12	B.Hartley	Toro Rosso	+1 okr.	
13	L.Stroll	Williams	+1 okr.	
14	S.Vandoorne	McLaren	+1 okr.	
15	S.Sirotkin	Williams	+1 okr.	
16	P.Gasly	Toro Rosso	DNF	
17	E.Ocon	Force India	DNF	
18	M.Ericsson	Sauber	DNF	
19	K.Raikkonen	Ferrari	DNF	
20	N.Hulkenberg	Renault	DNF	






